#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
province;red;green;blue;;;;;;;;;;;;;x
PROV1;Magister's Terrace;;;;;;;;;;;;;x
PROV2;Sun's Reach;;;;;;;;;;;;;x
PROV3;Sunwell Plateau;;;;;;;;;;;;;x
PROV4;Sunstrider Isle;;;;;;;;;;;;;x
PROV5;Silvermoon;;;;;;;;;;;;;x
PROV6;North Sanctum;;;;;;;;;;;;;x
PROV7;Stillwhisper Grove;;;;;;;;;;;;;x
PROV8;The Silver Coast;;;;;;;;;;;;;x
PROV9;Duskwither Spire;;;;;;;;;;;;;x
PROV10;West Sanctum;;;;;;;;;;;;;x
PROV11;Sunsail Anchorage;;;;;;;;;;;;;x
PROV12;Fairbreeze;;;;;;;;;;;;;x
PROV13;Zeb'watha;;;;;;;;;;;;;x
PROV14;The Scorched Grove;;;;;;;;;;;;;x
PROV15;Tor'watha;;;;;;;;;;;;;x
PROV16;Dawnstar Spire;;;;;;;;;;;;;x
PROV17;Suncrown;;;;;;;;;;;;;x
PROV18;Goldenmist;;;;;;;;;;;;;x
PROV19;Windrunner Coast;;;;;;;;;;;;;x
PROV20;Thas'alah;;;;;;;;;;;;;x
PROV21;Tranquillien;;;;;;;;;;;;;x
PROV22;Underlight Hills;;;;;;;;;;;;;x
PROV23;Sanctum of the Sun;;;;;;;;;;;;;x
PROV24;Thalassian Pass;;;;;;;;;;;;;x
PROV25;Zul'Aman;;;;;;;;;;;;;x
PROV26;Spiritcatcher Shore;;;;;;;;;;;;;x
PROV27;Nalorakk's Cliffs;;;;;;;;;;;;;x
PROV28;Thalassian Heights;;;;;;;;;;;;;x
PROV29;Greenwood Gliffs;;;;;;;;;;;;;x
PROV30;The Chain of Hunger;;;;;;;;;;;;;x
PROV31;Quel'Lithien;;;;;;;;;;;;;x
PROV32;Eastern Stratwood;;;;;;;;;;;;;x
PROV33;Western Stratwood;;;;;;;;;;;;;x
PROV34;Westdale;;;;;;;;;;;;;x
PROV35;Fungal Vale;;;;;;;;;;;;;x
PROV36;Blackwood;;;;;;;;;;;;;x
PROV37;Northpass;;;;;;;;;;;;;x
PROV38;Zul'Mashar;;;;;;;;;;;;;x
PROV39;Northmarch;;;;;;;;;;;;;x
PROV40;The High Glade;;;;;;;;;;;;;x
PROV41;Havenshire;;;;;;;;;;;;;x
PROV42;Forbidding Coast;;;;;;;;;;;;;x
PROV43;Tyr's Hand;;;;;;;;;;;;;x
PROV44;New Avalon;;;;;;;;;;;;;x
PROV45;Light's Hope;;;;;;;;;;;;;x
PROV46;Corin's Crossing;;;;;;;;;;;;;x
PROV47;Light's March;;;;;;;;;;;;;x
PROV48;Eastlands;;;;;;;;;;;;;x
PROV49;Darrowshire;;;;;;;;;;;;;x
PROV50;Crownlands;;;;;;;;;;;;;x
PROV51;Thondroril Valley;;;;;;;;;;;;;x
PROV52;Bleakrock;;;;;;;;;;;;;x
PROV53;Pineside;;;;;;;;;;;;;x
PROV54;Griffonroost;;;;;;;;;;;;;x
PROV55;Raven's Rill;;;;;;;;;;;;;x
PROV56;East Darrow;;;;;;;;;;;;;x
PROV57;South Darrow;;;;;;;;;;;;;x
PROV58;Caer Darrow;;;;;;;;;;;;;x
PROV59;Sorrow Hills;;;;;;;;;;;;;x
PROV60;The Uplands;;;;;;;;;;;;;x
PROV61;Strahnbrad;;;;;;;;;;;;;x
PROV62;Andorhal;;;;;;;;;;;;;x
PROV63;Hearthglen;;;;;;;;;;;;;x
PROV64;Redpine Woods;;;;;;;;;;;;;x
PROV65;Westvale;;;;;;;;;;;;;x
PROV66;Harveston;;;;;;;;;;;;;x
PROV67;The Fertile Expanse;;;;;;;;;;;;;x
PROV68;The Bulwark;;;;;;;;;;;;;x
PROV69;The Scarlet March;;;;;;;;;;;;;x
PROV70;Northern Alterac Valley;;;;;;;;;;;;;x
PROV71;Southern Alterac Valley;;;;;;;;;;;;;x
PROV72;Alterac;;;;;;;;;;;;;x
PROV73;Growless Pass;;;;;;;;;;;;;x
PROV74;Dandred's Fold;;;;;;;;;;;;;x
PROV75;Misty Shore;;;;;;;;;;;;;x
PROV76;Crushridge Heights;;;;;;;;;;;;;x
PROV77;Red Cavery;;;;;;;;;;;;;x
PROV79;Rivermark;;;;;;;;;;;;;x
PROV80;Chillwind Valley;;;;;;;;;;;;;x
PROV81;Alterac's Fingers;;;;;;;;;;;;;x
PROV82;Rosengarde;;;;;;;;;;;;;x
PROV83;Halewatch;;;;;;;;;;;;;x
PROV84;Dalaran;;;;;;;;;;;;;x
PROV85;Lordamere Fields;;;;;;;;;;;;;x
PROV86;Alterac Foothills;;;;;;;;;;;;;x
