#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aboraz;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
c_aboraz_adj;Aborazian;;aborazer;;;;;;;;;;;x
c_acherus;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
c_acherus_adj;Acherusian;;acheruser;;;;;;;;;;;x
c_aderics_repose;Aderic's Repose;Aderic's Repose;Aderic's Repose;;Aderic's Repose;;;;;;;;;x
c_aderics_repose_adj;Aderics Reposean;;Aderic's Reposer;;;;;;;;;;;x
c_aerie_peak;Aerie Peak;Aerie Peak;Aerie Peak;;Aerie Peak;;;;;;;;;x
c_aerie_peak_adj;Aerie Peakian;;Aerie Peaker;;;;;;;;;;;x
c_agamand_mills;Agamand Mills;Agamand Mills;Agamand Mills;;Agamand Mills;;;;;;;;;x
c_agamand_mills_adj;Agamand Millsian;;Agamand Millser;;;;;;;;;;;x
c_agmonds_end;Agmond's End;Agmond's End;Agmond's End;;Agmond's End;;;;;;;;;x
c_agmonds_end_adj;Agmonds Endian;;Agmond's Ender;;;;;;;;;;;x
c_agolwatha;Agol'watha;Agol'watha;Agol'watha;;Agol'watha;;;;;;;;;x
c_agolwatha_adj;Agol'wathan;;agol'wather;;;;;;;;;;;x
c_alexton_farmlands;Alexton Farmlands;Alexton Farmlands;Alexton Farmlands;;Alexton Farmlands;;;;;;;;;x
c_alexton_farmlands_adj;Alexton Farmlandsian;;Alexton Farmlandser;;;;;;;;;;;x
c_algaz_mountains;Algaz Mountains;Algaz Mountains;Algaz Mountains;;Algaz Mountains;;;;;;;;;x
c_algaz_mountains_adj;Algaz Mountainsian;;Algaz Mountainser;;;;;;;;;;;x
c_algaz_station;Algaz Station;Algaz Station;Algaz Station;;Algaz Station;;;;;;;;;x
c_algaz_station_adj;Algaz Stationian;;Algaz Stationer;;;;;;;;;;;x
c_altar_of_storms;Altar of Storms;Altar of Storms;Altar of Storms;;Altar of Storms;;;;;;;;;x
c_altar_of_storms_adj;Altar of Stormsian;;Altar of Stormser;;;;;;;;;;;x
c_altar_of_storms_2;Altar of Storms;Altar of Storms;Altar of Storms;;Altar of Storms;;;;;;;;;x
c_altar_of_storms_2_adj;Altar of Stormsian;;Altar of Stormser;;;;;;;;;;;x
c_alterac_valley;Alterac Valley;Alterac Valley;Alterac Valley;;Alterac Valley;;;;;;;;;x
c_alterac_valley_adj;Alterac Valleian;;Alterac Valleer;;;;;;;;;;;x
c_althers_mill;Alther's Mill;Alther's Mill;Alther's Mill;;Alther's Mill;;;;;;;;;x
c_althers_mill_adj;Althers Millian;;Alther's Miller;;;;;;;;;;;x
c_ambermill;Ambermill;Ambermill;Ambermill;;Ambermill;;;;;;;;;x
c_ambermill_adj;Ambermillian;;ambermiller;;;;;;;;;;;x
c_amberstill;Amberstill;Amberstill;Amberstill;;Amberstill;;;;;;;;;x
c_amberstill_adj;Amberstillian;;amberstiller;;;;;;;;;;;x
c_andaroth;An'daroth;An'daroth;An'daroth;;An'daroth;;;;;;;;;x
c_andaroth_adj;An'darothian;;an'darother;;;;;;;;;;;x
c_andorhal;Andorhal;Andorhal;Andorhal;;Andorhal;;;;;;;;;x
c_andorhal_adj;Andorhalian;;andorhaler;;;;;;;;;;;x
c_angerfang_encampment;Angerfang Encampment;Angerfang Encampment;Angerfang Encampment;;Angerfang Encampment;;;;;;;;;x
c_angerfang_encampment_adj;Angerfang Encampmentian;;Angerfang Encampmenter;;;;;;;;;;;x
c_angor_fortress;Angor Fortress;Angor Fortress;Angor Fortress;;Angor Fortress;;;;;;;;;x
c_angor_fortress_adj;Angor Fortressian;;Angor Fortresser;;;;;;;;;;;x
c_anowyn;An'owyn;An'owyn;An'owyn;;An'owyn;;;;;;;;;x
c_anowyn_adj;An'owynian;;an'owyner;;;;;;;;;;;x
c_anvilmar;Anvilmar;Anvilmar;Anvilmar;;Anvilmar;;;;;;;;;x
c_anvilmar_adj;Anvilmarian;;anvilmarer;;;;;;;;;;;x
c_apocryphans_rest;Apocryphan's Rest;Apocryphan's Rest;Apocryphan's Rest;;Apocryphan's Rest;;;;;;;;;x
c_apocryphans_rest_adj;Apocryphans Restian;;Apocryphan's Rester;;;;;;;;;;;x
c_arathi_basin;Arathi Basin;Arathi Basin;Arathi Basin;;Arathi Basin;;;;;;;;;x
c_arathi_basin_adj;Arathi Basinian;;Arathi Basiner;;;;;;;;;;;x
c_arathi_highlands;Arathi Highlands;Arathi Highlands;Arathi Highlands;;Arathi Highlands;;;;;;;;;x
c_arathi_highlands_adj;Arathi Highlandsian;;Arathi Highlandser;;;;;;;;;;;x
c_arathi_mountains;Arathi Mountains;Arathi Mountains;Arathi Mountains;;Arathi Mountains;;;;;;;;;x
c_arathi_mountains_adj;Arathi Mountainsian;;Arathi Mountainser;;;;;;;;;;;x
c_azerlode;Azerlode;Azerlode;Azerlode;;Azerlode;;;;;;;;;x
c_azerlode_adj;Azerlodean;;azerloder;;;;;;;;;;;x
c_azora;Azora;Azora;Azora;;Azora;;;;;;;;;x
c_azora_adj;Azoran;;azorer;;;;;;;;;;;x
c_azurebreeze_coast;Azurebreeze Coast;Azurebreeze Coast;Azurebreeze Coast;;Azurebreeze Coast;;;;;;;;;x
c_azurebreeze_coast_adj;Azurebreeze Coastian;;Azurebreeze Coaster;;;;;;;;;;;x
c_badlands_coast;Badlands Coast;Badlands Coast;Badlands Coast;;Badlands Coast;;;;;;;;;x
c_badlands_coast_adj;Badlands Coastian;;Badlands Coaster;;;;;;;;;;;x
c_badlands_mountains;Badlands Mountains;Badlands Mountains;Badlands Mountains;;Badlands Mountains;;;;;;;;;x
c_badlands_mountains_adj;Badlands Mountainsian;;Badlands Mountainser;;;;;;;;;;;x
c_baliamah;Balia'Mah;Balia'Mah;Balia'Mah;;Balia'Mah;;;;;;;;;x
c_baliamah_adj;Balia'Mahian;;balia'maher;;;;;;;;;;;x
c_balnir_farmlands;Balnir Farmlands;Balnir Farmlands;Balnir Farmlands;;Balnir Farmlands;;;;;;;;;x
c_balnir_farmlands_adj;Balnir Farmlandsian;;Balnir Farmlandser;;;;;;;;;;;x
c_berens_peril;Beren's Peril;Beren's Peril;Beren's Peril;;Beren's Peril;;;;;;;;;x
c_berens_peril_adj;Berens Perilian;;Beren's Periler;;;;;;;;;;;x
c_black_channel_marsh;Black Channel Marsh;Black Channel Marsh;Black Channel Marsh;;Black Channel Marsh;;;;;;;;;x
c_black_channel_marsh_adj;Black Channel Marshian;;Black Channel Marsher;;;;;;;;;;;x
c_blackchar;Blackchar;Blackchar;Blackchar;;Blackchar;;;;;;;;;x
c_blackchar_adj;Blackcharian;;blackcharer;;;;;;;;;;;x
c_blackrock_depths;Blackrock Depths;Blackrock Depths;Blackrock Depths;;Blackrock Depths;;;;;;;;;x
c_blackrock_depths_adj;Blackrock Depths;Blackrock Depths;Blackrock Depths;;Blackrock Depths;;;;;;;;;x
c_blackrock_pass;Blackrock Pass;Blackrock Pass;Blackrock Pass;;Blackrock Pass;;;;;;;;;x
c_blackrock_pass_adj;Blackrock Passian;;Blackrock Passer;;;;;;;;;;;x
c_blackrock_stronghold;Blackrock Stronghold;Blackrock Stronghold;Blackrock Stronghold;;Blackrock Stronghold;;;;;;;;;x
c_blackrock_stronghold_adj;Blackrock Strongholdian;;Blackrock Strongholder;;;;;;;;;;;x
c_blackwell_farmlands;Blackwell Farmlands;Blackwell Farmlands;Blackwell Farmlands;;Blackwell Farmlands;;;;;;;;;x
c_blackwell_farmlands_adj;Blackwell Farmlandsian;;Blackwell Farmlandser;;;;;;;;;;;x
c_blackwood_lake;Blackwood Lake;Blackwood Lake;Blackwood Lake;;Blackwood Lake;;;;;;;;;x
c_blackwood_lake_adj;Blackwood Lakean;;Blackwood Laker;;;;;;;;;;;x
c_blasted_lands_eastern_coast;Shattershore;Shattershore;Shattershore;;Shattershore;;;;;;;;;x
c_blasted_lands_eastern_coast_adj;Shattershore;Shattershore;Shattershore;;Shattershore;;;;;;;;;x
c_blasted_lands_southern_coast;Red Reaches;Red Reaches;Red Reaches;;Red Reaches;;;;;;;;;x
c_blasted_lands_southern_coast_adj;Red Reaches;Red Reaches;Red Reaches;;Red Reaches;;;;;;;;;x
c_bloodsail_coast;Bloodsail Coast;Bloodsail Coast;Bloodsail Coast;;Bloodsail Coast;;;;;;;;;x
c_bloodsail_coast_adj;Bloodsail Coastian;;Bloodsail Coaster;;;;;;;;;;;x
c_bluegill_marsh;Bluegill Marsh;Bluegill Marsh;Bluegill Marsh;;Bluegill Marsh;;;;;;;;;x
c_bluegill_marsh_adj;Bluegill Marshian;;Bluegill Marsher;;;;;;;;;;;x
c_booty_bay;Booty Bay;Booty Bay;Booty Bay;;Booty Bay;;;;;;;;;x
c_booty_bay_adj;Booty Baian;;Booty Baer;;;;;;;;;;;x
c_boralus;Boralus;Boralus;Boralus;;Boralus;;;;;;;;;x
c_boralus_adj;Boralusian;;boraluser;;;;;;;;;;;x
c_boulderfist_hall;Boulderfist Hall;Boulderfist Hall;Boulderfist Hall;;Boulderfist Hall;;;;;;;;;x
c_boulderfist_hall_adj;Boulderfist Hallian;;Boulderfist Haller;;;;;;;;;;;x
c_brewnall;Brewnall;Brewnall;Brewnall;;Brewnall;;;;;;;;;x
c_brewnall_adj;Brewnallian;;brewnaller;;;;;;;;;;;x
c_brightwood_grove;Brightwood Grove;Brightwood Grove;Brightwood Grove;;Brightwood Grove;;;;;;;;;x
c_brightwood_grove_adj;Brightwood Grovean;;Brightwood Grover;;;;;;;;;;;x
c_brill;Brill;Brill;Brill;;Brill;;;;;;;;;x
c_brill_adj;Brillian;;briller;;;;;;;;;;;x
c_browman_hill;Browman Hill;Browman Hill;Browman Hill;;Browman Hill;;;;;;;;;x
c_browman_hill_adj;Browman Hillian;;Browman Hiller;;;;;;;;;;;x
c_caer_darrow;Caer Darrow;Caer Darrow;Caer Darrow;;Caer Darrow;;;;;;;;;x
c_caer_darrow_adj;Caer Darrowian;;Caer Darrower;;;;;;;;;;;x
c_camp_boff;Camp Boff;Camp Boff;Camp Boff;;Camp Boff;;;;;;;;;x
c_camp_boff_adj;Camp Boffian;;Camp Boffer;;;;;;;;;;;x
c_camp_gosh;Camp Gosh;Camp Gosh;Camp Gosh;;Camp Gosh;;;;;;;;;x
c_camp_gosh_adj;Camp Goshian;;Camp Gosher;;;;;;;;;;;x
c_camp_wurg;Camp Wurg;Camp Wurg;Camp Wurg;;Camp Wurg;;;;;;;;;x
c_camp_wurg_adj;Camp Wurgian;;Camp Wurger;;;;;;;;;;;x
c_cape_of_kul_tiras;Cape of Kul Tiras;Cape of Kul Tiras;Cape of Kul Tiras;;Cape of Kul Tiras;;;;;;;;;x
c_cape_of_kul_tiras_adj;Cape of Kul Tirasian;;Cape of Kul Tiraser;;;;;;;;;;;x
c_central_kultiras;Central Kul'Tiras;Central Kul'Tiras;Central Kul'Tiras;;Central Kul'Tiras;;;;;;;;;x
c_central_kultiras_adj;Central Kul'Tirasian;;Central Kul'Tiraser;;;;;;;;;;;x
c_drakgor;Drakgor;Drakgor;Drakgor;;Drakgor;;;;;;;;;x
c_drakgor_adj;Drakgor;Drakgor;Drakgor;;Drakgor;;;;;;;;;x
c_chillwind_camp;Chillwind Camp;Chillwind Camp;Chillwind Camp;;Chillwind Camp;;;;;;;;;x
c_chillwind_camp_adj;Chillwind Campian;;Chillwind Camper;;;;;;;;;;;x
c_chillwind_point;Chillwind Point;Chillwind Point;Chillwind Point;;Chillwind Point;;;;;;;;;x
c_chillwind_point_adj;Chillwind Pointian;;Chillwind Pointer;;;;;;;;;;;x
